ID,Poet,Poetry
1,ahmad-faraz,"aankh se duur na ho dil se utar ja.ega 
vaqt ka kya hai guzarta hai guzar ja.ega 
itna manus na ho khalvat-e-gham se apni 
tu kabhi khud ko bhi dekhega to Dar ja.ega 
Dubte Dubte kashti ko uchhala de duun 
main nahin koi to sahil pe utar ja.ega 
zindagi teri ata hai to ye jaane vaala 
teri bakhshish tiri dahliz pe dhar ja.ega 
zabt lazim hai magar dukh hai qayamat ka 'faraz' 
zalim ab ke bhi na ro.ega to mar ja.ega"
2,ahmad-faraz,"ashiqi men 'mir' jaise khvab mat dekha karo 
bavle ho jaoge mahtab mat dekha karo 
jasta jasta paDh liya karna mazamin-e-vafa 
par kitab-e-ishq ka har baab mat dekha karo 
is tamashe men ulaT jaati hain aksar kashtiyan 
Dubne valon ko zer-e-ab mat dekha karo 
mai-kade men kya takalluf mai-kashi men kya hijab 
bazm-e-saqi men adab adab mat dekha karo 
ham se durveshon ke ghar aao to yaron ki tarah 
har jagah khas-khana o barfab mat dekha karo 
mange-tange ki qaba.en der tak rahti nahin 
yaar logon ke laqab-alqab mat dekha karo 
tishnagi men lab bhigo lena bhi kaafi hai 'faraz' 
jaam men sahba hai ya zahrab mat dekha karo"
3,ahmad-faraz,"ab aur kya kisi se marasim baDha.en ham 
ye bhi bahut hai tujh ko agar bhuul jaa.en ham 
sahra-e-zindagi men koi dusra na tha 
sunte rahe hain aap hi apni sada.en ham 
is zindagi men itni faraghat kise nasib 
itna na yaad aa ki tujhe bhuul jaa.en ham 
tu itni dil-zada to na thi ai shab-e-firaq 
aa tere raste men sitare luTa.en ham 
vo log ab kahan hain jo kahte the kal 'faraz' 
he he khuda-na-karda tujhe bhi rula.en ham"
4,ahmad-faraz,"ab ke ham bichhDe to shayad kabhi khvabon men milen 
jis tarah sukhe hue phuul kitabon men milen 
DhunDh ujDe hue logon men vafa ke moti 
ye khazane tujhe mumkin hai kharabon men milen 
gham-e-duniya bhi gham-e-yar men shamil kar lo 
nashsha baDhta hai sharaben jo sharabon men milen 
tu khuda hai na mira ishq farishton jaisa 
donon insan hain to kyuun itne hijabon men milen 
aaj ham daar pe khinche ga.e jin baton par 
kya ajab kal vo zamane ko nisabon men milen 
ab na vo main na vo tu hai na vo maazi hai 'faraz' 
jaise do shakhs tamanna ke sarabon men milen"
5,ahmad-faraz,"ab ke tajdid-e-vafa ka nahin imkan janan 
yaad kya tujh ko dila.en tira paiman janan 
yunhi mausam ki ada dekh ke yaad aaya hai 
kis qadar jald badal jaate hain insan janan 
zindagi teri ata thi so tire naam ki hai 
ham ne jaise bhi basar ki tira ehsan janan 
dil ye kahta hai ki shayad hai fasurda tu bhi 
dil ki kya baat karen dil to hai nadan janan 
avval avval ki mohabbat ke nashe yaad to kar 
be-piye bhi tira chehra tha gulistan janan 
akhir akhir to ye aalam hai ki ab hosh nahin 
rag-e-mina sulag uTThi ki rag-e-jan janan 
muddaton se yahi aalam na tavaqqo na umiid 
dil pukare hi chala jaata hai janan janan 
ham bhi kya saada the ham ne bhi samajh rakkha tha 
gham-e-dauran se juda hai gham-e-janan janan 
ab ke kuchh aisi saji mahfil-e-yaran janan 
sar-ba-zanu hai koi sar-ba-gareban janan 
har koi apni hi avaz se kaanp uThta hai 
har koi apne hi saa.e se hirasan janan 
jis ko dekho vahi zanjir-ba-pa lagta hai 
shahr ka shahr hua dakhil-e-zindan janan 
ab tira zikr bhi shayad hi ghazal men aa.e 
aur se aur hue dard ke unvan janan 
ham ki ruThi hui rut ko bhi mana lete the 
ham ne dekha hi na tha mausam-e-hijran janan 
hosh aaya to sabhi khvab the reza reza 
jaise uDte hue auraq-e-pareshan janan"
6,ahmad-faraz,"ab kya sochen kya halat the kis karan ye zahr piya hai 
ham ne us ke shahr ko chhoDa aur ankhon ko muund liya hai 
apna ye sheva to nahin tha apne gham auron ko saunpen 
khud to jagte ya sote hain us ko kyuun be-khvab kiya hai 
khilqat ke avaze bhi the band us ke darvaze bhi the 
phir bhi us kuche se guzre phir bhi us ka naam liya hai 
hijr ki rut jan-leva thi par ghalat sabhi andaze nikle 
taaza rifaqat ke mausam tak main bhi jiya huun vo bhi jiya hai 
ek 'faraz' tumhin tanha ho jo ab tak dukh ke rasiya ho 
varna aksar dil valon ne dard ka rasta chhoD diya hai"
7,ahmad-faraz,"ab shauq se ki jaan se guzar jaana chahiye 
bol ai hava-e-shahr kidhar jaana chahiye 
kab tak isi ko akhiri manzil kahenge ham 
ku-e-murad se bhi udhar jaana chahiye 
vo vaqt aa gaya hai ki sahil ko chhoD kar 
gahre samundaron men utar jaana chahiye 
ab raftagan ki baat nahin karvan ki hai 
jis samt bhi ho gard-e-safar jaana chahiye 
kuchh to subut-e-khun-e-tamanna kahin mile 
hai dil tahi to aankh ko bhar jaana chahiye 
ya apni khvahishon ko muqaddas na jante 
ya khvahishon ke saath hi mar jaana chahiye"
8,ahmad-faraz,"abhi kuchh aur karishme ghazal ke dekhte hain 
'faraz' ab zara lahja badal ke dekhte hain 
juda.iyan to muqaddar hain phir bhi jan-e-safar 
kuchh aur duur zara saath chal ke dekhte hain 
rah-e-vafa men harif-e-khiram koi to ho 
so apne aap se aage nikal ke dekhte hain 
tu samne hai to phir kyuun yaqin nahin aata 
ye baar baar jo ankhon ko mal ke dekhte hain 
ye kaun log hain maujud teri mahfil men 
jo lalachon se tujhe mujh ko jal ke dekhte hain 
ye qurb kya hai ki yak-jan hue na duur rahe 
hazar ek hi qalib men Dhal ke dekhte hain 
na tujh ko maat hui hai na mujh ko maat hui 
so ab ke donon hi chalen badal ke dekhte hain 
ye kaun hai sar-e-sahil ki Dubne vaale 
samundaron ki tahon se uchhal ke dekhte hain 
abhi talak to na kundan hue na raakh hue 
ham apni aag men har roz jal ke dekhte hain 
bahut dinon se nahin hai kuchh us ki khair khabar 
chalo 'faraz' ko ai yaar chal ke dekhte hain"
9,ahmad-faraz,"agarche zor havaon ne Daal rakkha hai 
magar charagh ne lau ko sambhal rakkha hai 
mohabbaton men to milna hai ya ujaD jaana 
mizaj-e-ishq men kab e'tidal rakkha hai 
hava men nashsha hi nashsha faza men rang hi rang 
ye kis ne pairahan apna uchhal rakkha hai 
bhale dinon ka bharosa hi kya rahen na rahen 
so main ne rishta-e-gham ko bahal rakkha hai 
ham aise sada-dilon ko vo dost ho ki khuda 
sabhi ne vada-e-farda pe Taal rakkha hai 
hisab-e-lutf-e-harifan kiya hai jab to khula 
ki doston ne ziyada khayal rakkha hai 
bhari bahar men ik shakh par khila hai gulab 
ki jaise tu ne hatheli pe gaal rakkha hai 
'faraz' ishq ki duniya to khub-surat thi 
ye kis ne fitna-e-hijr-o-visal rakkha hai"
10,ahmad-faraz,"aisa hai ki sab khvab musalsal nahin hote 
jo aaj to hote hain magar kal nahin hote 
andar ki fazaon ke karishme bhi ajab hain 
menh TuuT ke barse bhi to badal nahin hote 
kuchh mushkilen aisi hain ki asan nahin hotin 
kuchh aise muamme hain kabhi hal nahin hote 
sha.istagi-e-gham ke sabab ankhon ke sahra 
namnak to ho jaate hain jal-thal nahin hote 
kaise hi talatum hon magar qulzum-e-jan men 
kuchh yad-jazire hain ki ojhal nahin hote 
ushshaq ke manind ka.i ahl-e-havas bhi 
pagal to nazar aate hain pagal nahin hote 
sab khvahishen puuri hon 'faraz' aisa nahin hai 
jaise ka.i ash.ar mukammal nahin hote"
